ID                                          County     State    # of Tracts    Population
Jackson_IL                                 Jackson        IL             14         60218
Jasper_IL                                   Jasper        IL              3          9698
Jefferson_IL                             Jefferson        IL             11         38827
Jersey_IL                                   Jersey        IL              6         22985
Jo Daviess_IL                           Jo Daviess        IL              6         22678
Johnson_IL                                 Johnson        IL              4         12582
Kane_IL                                       Kane        IL             82        515269
Kankakee_IL                               Kankakee        IL             29        113449
Kendall_IL                                 Kendall        IL             10        114736
Knox_IL                                       Knox        IL             16         52919
Lake_IL                                       Lake        IL            153        703462
La Salle_IL                               La Salle        IL             28        113924
Lawrence_IL                               Lawrence        IL              5         16833
Lee_IL                                         Lee        IL              9         36031
Livingston_IL                           Livingston        IL             10         38950
Logan_IL                                     Logan        IL              8         30305
McDonough_IL                             McDonough        IL             10         32612
McHenry_IL                                 McHenry        IL             52        308760
McLean_IL                                   McLean        IL             41        169572
Macon_IL                                     Macon        IL             34        110768
Macoupin_IL                               Macoupin        IL             13         47765
Madison_IL                                 Madison        IL             61        269282
Marion_IL                                   Marion        IL             12         39437
Marshall_IL                               Marshall        IL              5         12640
Mason_IL                                     Mason        IL              6         14666
Massac_IL                                   Massac        IL              4         15429
Menard_IL                                   Menard        IL              3         12705
Mercer_IL                                   Mercer        IL              4         16434
Monroe_IL                                   Monroe        IL              6         32957
Montgomery_IL                           Montgomery        IL              8         30104
Morgan_IL                                   Morgan        IL             10         35547
Moultrie_IL                               Moultrie        IL              4         14846
Ogle_IL                                       Ogle        IL             11         53497
Peoria_IL                                   Peoria        IL             48        186494
Perry_IL                                     Perry        IL              6         22350
Piatt_IL                                     Piatt        IL              4         16729
Pike_IL                                       Pike        IL              5         16430
Pope_IL                                       Pope        IL              2          4470
Pulaski_IL                                 Pulaski        IL              2          6161
Putnam_IL                                   Putnam        IL              2          6006
Randolph_IL                               Randolph        IL              9         33476
Richland_IL                               Richland        IL              5         16233
Rock Island_IL                         Rock Island        IL             40        147546
St. Clair_IL                             St. Clair        IL             60        270056
Saline_IL                                   Saline        IL              9         24913
Sangamon_IL                               Sangamon        IL             53        197465
Schuyler_IL                               Schuyler        IL              3          7544
Scott_IL                                     Scott        IL              2          5355
Shelby_IL                                   Shelby        IL              6         22363
Stark_IL                                     Stark        IL              2          5994
Stephenson_IL                           Stephenson        IL             13         47711
Tazewell_IL                               Tazewell        IL             30        135394
Union_IL                                     Union        IL              5         17808
Vermilion_IL                             Vermilion        IL             24         81625
Wabash_IL                                   Wabash        IL              4         11947
Warren_IL                                   Warren        IL              5         17707
Washington_IL                           Washington        IL              4         14716
Wayne_IL                                     Wayne        IL              5         16760
White_IL                                     White        IL              5         14665
Whiteside_IL                             Whiteside        IL             18         58498
Will_IL                                       Will        IL            152        677560
Williamson_IL                           Williamson        IL             15         66357
Winnebago_IL                             Winnebago        IL             77        295266
Woodford_IL                               Woodford        IL              9         38664
Adams_IN                                     Adams        IN              7         34387
Allen_IN                                     Allen        IN             96        355329
Bartholomew_IN                         Bartholomew        IN             15         76794
Benton_IN                                   Benton        IN              3          8854
Blackford_IN                             Blackford        IN              4         12766
Boone_IN                                     Boone        IN             10         56640
Brown_IN                                     Brown        IN              4         15242
Carroll_IN                                 Carroll        IN              7         20155
Cass_IN                                       Cass        IN             11         38966
Clark_IN                                     Clark        IN             26        110232
Clay_IN                                       Clay        IN              6         26890
Clinton_IN                                 Clinton        IN              8         33224
Crawford_IN                               Crawford        IN              3         10713
Daviess_IN                                 Daviess        IN              7         31648
Dearborn_IN                               Dearborn        IN             10         50047
Decatur_IN                                 Decatur        IN              6         25740
DeKalb_IN                                   DeKalb        IN              9         42223
Delaware_IN                               Delaware        IN             30        117671
Dubois_IN                                   Dubois        IN              7         41889
Elkhart_IN                                 Elkhart        IN             36        197559
Fayette_IN                                 Fayette        IN              7         24277
Floyd_IN                                     Floyd        IN             20         74578
Fountain_IN                               Fountain        IN              5         17240
Franklin_IN                               Franklin        IN              5         23087
Fulton_IN                                   Fulton        IN              6         20836
Gibson_IN                                   Gibson        IN              7         33503
Grant_IN                                     Grant        IN             16         70061
Greene_IN                                   Greene        IN              9         33165
Hamilton_IN                               Hamilton        IN             39        274569
Hancock_IN                                 Hancock        IN             10         70002
Harrison_IN                               Harrison        IN              6         39364
Hendricks_IN                             Hendricks        IN             21        145448
Henry_IN                                     Henry        IN             13         49462
Howard_IN                                   Howard        IN             20         82752
Huntington_IN                           Huntington        IN              9         37124
Jackson_IN                                 Jackson        IN             10         42376
Jasper_IN                                   Jasper        IN              8         33478
Jay_IN                                         Jay        IN              7         21253
Jefferson_IN                             Jefferson        IN              7         32428
Jennings_IN                               Jennings        IN              6         28525
Johnson_IN                                 Johnson        IN             22        139654
Knox_IN                                       Knox        IN             10         38440
Kosciusko_IN                             Kosciusko        IN             19         77358
LaGrange_IN                               LaGrange        IN              8         37128
Lake_IN                                       Lake        IN            117        496005
LaPorte_IN                                 LaPorte        IN             28        111467
Lawrence_IN                               Lawrence        IN             10         46134
Madison_IN                                 Madison        IN             37        131636
Marion_IN                                   Marion        IN            224        903393
Marshall_IN                               Marshall        IN             12         47051
Martin_IN                                   Martin        IN              3         10334
Miami_IN                                     Miami        IN             10         36903
Monroe_IN                                   Monroe        IN             31        137974
Montgomery_IN                           Montgomery        IN              9         38124
Morgan_IN                                   Morgan        IN             13         68894
Newton_IN                                   Newton        IN              4         14244
Noble_IN                                     Noble        IN             10         47536
Ohio_IN                                       Ohio        IN              2          6128
Orange_IN                                   Orange        IN              6         19840
Owen_IN                                       Owen        IN              5         21575
Parke_IN                                     Parke        IN              4         17339
Perry_IN                                     Perry        IN              5         19338
Pike_IN                                       Pike        IN              4         12845
Porter_IN                                   Porter        IN             32        164343
Posey_IN                                     Posey        IN              7         25910
Pulaski_IN                                 Pulaski        IN              4         13402
Putnam_IN                                   Putnam        IN              7         37963
Randolph_IN                               Randolph        IN              8         26171
Ripley_IN                                   Ripley        IN              6         28818
Rush_IN                                       Rush        IN              5         17392
St. Joseph_IN                           St. Joseph        IN             75        266931
Scott_IN                                     Scott        IN              5         24181
Shelby_IN                                   Shelby        IN             10         44436
Spencer_IN                                 Spencer        IN              5         20952
Starke_IN                                   Starke        IN              7         23363
Steuben_IN                                 Steuben        IN              9         34185
Sullivan_IN                               Sullivan        IN              5         21475
Switzerland_IN                         Switzerland        IN              3         10613
Tippecanoe_IN                           Tippecanoe        IN             37        172780
Tipton_IN                                   Tipton        IN              4         15936
Union_IN                                     Union        IN              2          7516
Vanderburgh_IN                         Vanderburgh        IN             49        179703
Vermillion_IN                           Vermillion        IN              5         16212
Vigo_IN                                       Vigo        IN             28        107848
Wabash_IN                                   Wabash        IN              8         32888
Warren_IN                                   Warren        IN              2          8508
Warrick_IN                                 Warrick        IN             11         59689
Washington_IN                           Washington        IN              6         28262
Wayne_IN                                     Wayne        IN             17         68917
Wells_IN                                     Wells        IN              7         27636
White_IN                                     White        IN              8         24643
Whitley_IN                                 Whitley        IN              7         33292
Adair_IA                                     Adair        IA              3          7682
Adams_IA                                     Adams        IA              2          4029
Allamakee_IA                             Allamakee        IA              5         14330
Appanoose_IA                             Appanoose        IA              5         12887
Audubon_IA                                 Audubon        IA              3          6119
Benton_IA                                   Benton        IA              7         26076
Black Hawk_IA                           Black Hawk        IA             38        131090
Boone_IA                                     Boone        IA              7         26306
Bremer_IA                                   Bremer        IA              8         24276
Buchanan_IA                               Buchanan        IA              6         20958
Buena Vista_IA                         Buena Vista        IA              6         20260
Butler_IA                                   Butler        IA              5         14867
Calhoun_IA                                 Calhoun        IA              4          9670
Carroll_IA                                 Carroll        IA              6         20816
Cass_IA                                       Cass        IA              5         13956
Cedar_IA                                     Cedar        IA              5         18499
Cerro Gordo_IA                         Cerro Gordo        IA             11         44151
Cherokee_IA                               Cherokee        IA              4         12072
Chickasaw_IA                             Chickasaw        IA              4         12439
Clarke_IA                                   Clarke        IA              3          9286
Clay_IA                                       Clay        IA              4         16667
Clayton_IA                                 Clayton        IA              6         18129
Clinton_IA                                 Clinton        IA             12         49116
Crawford_IA                               Crawford        IA              5         17096
Dallas_IA                                   Dallas        IA             15         66135
Davis_IA                                     Davis        IA              2          8753
Decatur_IA                                 Decatur        IA              3          8457
Delaware_IA                               Delaware        IA              4         17764
Des Moines_IA                           Des Moines        IA             11         40325
Dickinson_IA                             Dickinson        IA              5         16667
Dubuque_IA                                 Dubuque        IA             26         93653
Emmet_IA                                     Emmet        IA              4         10302
Fayette_IA                                 Fayette        IA              7         20880
Floyd_IA                                     Floyd        IA              5         16303
Franklin_IA                               Franklin        IA              3         10680
Fremont_IA                                 Fremont        IA              3          7441
Greene_IA                                   Greene        IA              4          9336
Grundy_IA                                   Grundy        IA              4         12453
Guthrie_IA                                 Guthrie        IA              3         10954
Hamilton_IA                               Hamilton        IA              5         15673
Hancock_IA                                 Hancock        IA              4         11341
Hardin_IA                                   Hardin        IA              6         17534
Harrison_IA                               Harrison        IA              5         14928
Henry_IA                                     Henry        IA              5         20145
Howard_IA                                   Howard        IA              3          9566
Humboldt_IA                               Humboldt        IA              4          9815
Ida_IA                                         Ida        IA              3          7089
Iowa_IA                                       Iowa        IA              4         16355
Jackson_IA                                 Jackson        IA              6         19848
Jasper_IA                                   Jasper        IA              9         36842
Jefferson_IA                             Jefferson        IA              4         16843
Johnson_IA                                 Johnson        IA             24        130882
Jones_IA                                     Jones        IA              5         20638
Keokuk_IA                                   Keokuk        IA              4         10511
Kossuth_IA                                 Kossuth        IA              6         15543
Lee_IA                                         Lee        IA             11         35862
Linn_IA                                       Linn        IA             45        211226
Louisa_IA                                   Louisa        IA              3         11387
Lucas_IA                                     Lucas        IA              4          8898
Lyon_IA                                       Lyon        IA              3         11581
Madison_IA                                 Madison        IA              3         15679
Mahaska_IA                                 Mahaska        IA              7         22381
Marion_IA                                   Marion        IA              8         33309
Marshall_IA                               Marshall        IA             10         40648
Mills_IA                                     Mills        IA              5         15059
Mitchell_IA                               Mitchell        IA              3         10776
Monona_IA                                   Monona        IA              4          9243
Monroe_IA                                   Monroe        IA              3          7970
Montgomery_IA                           Montgomery        IA              4         10740
Muscatine_IA                             Muscatine        IA             10         42745
O'Brien_IA                                 O'Brien        IA              4         14398
Osceola_IA                                 Osceola        IA              2          6462
Page_IA                                       Page        IA              6         15932
Palo Alto_IA                             Palo Alto        IA              4          9421
Plymouth_IA                               Plymouth        IA              6         24986
Pocahontas_IA                           Pocahontas        IA              3          7310
Polk_IA                                       Polk        IA             98        430640
Pottawattamie_IA                     Pottawattamie        IA             30         93158
Poweshiek_IA                             Poweshiek        IA              5         18914
Ringgold_IA                               Ringgold        IA              2          5131
Sac_IA                                         Sac        IA              4         10350
Scott_IA                                     Scott        IA             47        165224
Shelby_IA                                   Shelby        IA              4         12167
Sioux_IA                                     Sioux        IA              7         33704
Story_IA                                     Story        IA             20         89542
Tama_IA                                       Tama        IA              6         17767
Taylor_IA                                   Taylor        IA              3          6317
Union_IA                                     Union        IA              4         12534
Van Buren_IA                             Van Buren        IA              2          7570
Wapello_IA                                 Wapello        IA             11         35625
Warren_IA                                   Warren        IA             12         46225
Washington_IA                           Washington        IA              5         21704
Wayne_IA                                     Wayne        IA              3          6403
Webster_IA                                 Webster        IA             12         38013
Winnebago_IA                             Winnebago        IA              3         10866
Winneshiek_IA                           Winneshiek        IA              5         21056
Woodbury_IA                               Woodbury        IA             26        102172
Worth_IA                                     Worth        IA              3          7598
Wright_IA                                   Wright        IA              5         13229
Allen_KS                                     Allen        KS              5         13371
Anderson_KS                               Anderson        KS              2          8102
Atchison_KS                               Atchison        KS              4         16924
Barber_KS                                   Barber        KS              2          4861
Barton_KS                                   Barton        KS              8         27674
Bourbon_KS                                 Bourbon        KS              5         15173
Brown_KS                                     Brown        KS              3          9984
Butler_KS                                   Butler        KS             13         65880
Chase_KS                                     Chase        KS              1          2790
Chautauqua_KS                           Chautauqua        KS              1          3669
Cherokee_KS                               Cherokee        KS              6         21603
Cheyenne_KS                               Cheyenne        KS              1          2726
Clark_KS                                     Clark        KS              1          2215
Clay_KS                                       Clay        KS              2          8535
Cloud_KS                                     Cloud        KS              4          9533
Coffey_KS                                   Coffey        KS              3          8601
Comanche_KS                               Comanche        KS              1          1891
Cowley_KS                                   Cowley        KS             11         36311
Crawford_KS                               Crawford        KS             11         39134
Decatur_KS                                 Decatur        KS              2          2961
Dickinson_KS                             Dickinson        KS              6         19754
Doniphan_KS                               Doniphan        KS              3          7945
Douglas_KS                                 Douglas        KS             22        110826
Edwards_KS                                 Edwards        KS              2          3037
Elk_KS                                         Elk        KS              1          2882
Ellis_KS                                     Ellis        KS              6         28452
Ellsworth_KS                             Ellsworth        KS              2          6497
Finney_KS                                   Finney        KS             12         36776
Ford_KS                                       Ford        KS              7         33848
Franklin_KS                               Franklin        KS              5         25992
Geary_KS                                     Geary        KS              8         34362
Gove_KS                                       Gove        KS              2          2695
Graham_KS                                   Graham        KS              2          2597
Grant_KS                                     Grant        KS              2          7829
Gray_KS                                       Gray        KS              2          6006
Greeley_KS                                 Greeley        KS              1          1247
Greenwood_KS                             Greenwood        KS              3          6689
Hamilton_KS                               Hamilton        KS              1          2690
Harper_KS                                   Harper        KS              3          6034
Harvey_KS                                   Harvey        KS              6         34684
Haskell_KS                                 Haskell        KS              1          4256
Hodgeman_KS                               Hodgeman        KS              1          1916
Jackson_KS                                 Jackson        KS              3         13462
Jefferson_KS                             Jefferson        KS              4         19126
Jewell_KS                                   Jewell        KS              2          3077
Johnson_KS                                 Johnson        KS            130        544179
Kearny_KS                                   Kearny        KS              1          3977
Kingman_KS                                 Kingman        KS              3          7858
Kiowa_KS                                     Kiowa        KS              1          2553
Labette_KS                                 Labette        KS              8         21607
Lane_KS                                       Lane        KS              1          1750
Leavenworth_KS                         Leavenworth        KS             16         76227
Lincoln_KS                                 Lincoln        KS              1          3241
Linn_KS                                       Linn        KS              2          9656
Logan_KS                                     Logan        KS              1          2756
Lyon_KS                                       Lyon        KS              8         33690
McPherson_KS                             McPherson        KS              7         29180
Marion_KS                                   Marion        KS              4         12660
Marshall_KS                               Marshall        KS              4         10117
Meade_KS                                     Meade        KS              2          4575
Miami_KS                                     Miami        KS              8         32787
Mitchell_KS                               Mitchell        KS              2          6373
Montgomery_KS                           Montgomery        KS             13         35471
Morris_KS                                   Morris        KS              2          5923
Morton_KS                                   Morton        KS              1          3233
Nemaha_KS                                   Nemaha        KS              3         10178
Neosho_KS                                   Neosho        KS              5         16512
Ness_KS                                       Ness        KS              2          3107
Norton_KS                                   Norton        KS              1          5671
Osage_KS                                     Osage        KS              5         16295
Osborne_KS                                 Osborne        KS              1          3858
Ottawa_KS                                   Ottawa        KS              2          6091
Pawnee_KS                                   Pawnee        KS              2          6973
Phillips_KS                               Phillips        KS              3          5642
Pottawatomie_KS                       Pottawatomie        KS              4         21604
Pratt_KS                                     Pratt        KS              3          9656
Rawlins_KS                                 Rawlins        KS              1          2519
Reno_KS                                       Reno        KS             17         64511
Republic_KS                               Republic        KS              3          4980
Rice_KS                                       Rice        KS              3         10083
Riley_KS                                     Riley        KS             14         71115
Rooks_KS                                     Rooks        KS              2          5181
Rush_KS                                       Rush        KS              2          3307
Russell_KS                                 Russell        KS              2          6970
Saline_KS                                   Saline        KS             12         55606
Scott_KS                                     Scott        KS              1          4936
Sedgwick_KS                               Sedgwick        KS            124        498365
Seward_KS                                   Seward        KS              5         22952
Shawnee_KS                                 Shawnee        KS             43        177934
Sheridan_KS                               Sheridan        KS              2          2556
Sherman_KS                                 Sherman        KS              2          6010
Smith_KS                                     Smith        KS              2          3853
Stafford_KS                               Stafford        KS              2          4437
Stanton_KS                                 Stanton        KS              1          2235
Stevens_KS                                 Stevens        KS              2          5724
Sumner_KS                                   Sumner        KS              6         24132
Thomas_KS                                   Thomas        KS              2          7900
Trego_KS                                     Trego        KS              1          3001
Wabaunsee_KS                             Wabaunsee        KS              2          7053
Wallace_KS                                 Wallace        KS              1          1485
Washington_KS                           Washington        KS              2          5799
Wichita_KS                                 Wichita        KS              1          2234
Wilson_KS                                   Wilson        KS              4          9409
Woodson_KS                                 Woodson        KS              2          3309
Wyandotte_KS                             Wyandotte        KS             70        157505
Adair_KY                                     Adair        KY              7         18656
Allen_KY                                     Allen        KY              6         19956
Anderson_KY                               Anderson        KY              5         21421
Ballard_KY                                 Ballard        KY              3          8249
Barren_KY                                   Barren        KY             10         42173
Bath_KY                                       Bath        KY              3         11591
Bell_KY                                       Bell        KY              9         28691
Boone_KY                                     Boone        KY             22        118811
Bourbon_KY                                 Bourbon        KY              6         19985
Boyd_KY                                       Boyd        KY             13         49542
Boyle_KY                                     Boyle        KY              7         28432
Bracken_KY                                 Bracken        KY              3          8488
Breathitt_KY                             Breathitt        KY              7         13878
Breckinridge_KY                       Breckinridge        KY              6         20059
Bullitt_KY                                 Bullitt        KY             18         74319
Butler_KY                                   Butler        KY              5         12690
Caldwell_KY                               Caldwell        KY              3         12984
Calloway_KY                               Calloway        KY              9         37191
Campbell_KY                               Campbell        KY             25         90336
Carlisle_KY                               Carlisle        KY              3          5104
Carroll_KY                                 Carroll        KY              3         10811
Carter_KY                                   Carter        KY              7         27720
Casey_KY                                     Casey        KY              5         15955
Christian_KY                             Christian        KY             19         73955
Clark_KY                                     Clark        KY             10         35613
Clay_KY                                       Clay        KY              6         21730
Clinton_KY                                 Clinton        KY              3         10272
Crittenden_KY                           Crittenden        KY              4          9315
Cumberland_KY                           Cumberland        KY              2          6856
Daviess_KY                                 Daviess        KY             23         96656
Edmonson_KY                               Edmonson        KY              4         12161
Elliott_KY                                 Elliott        KY              2          7852
Estill_KY                                   Estill        KY              4         14672
Fayette_KY                                 Fayette        KY             82        295803
Fleming_KY                                 Fleming        KY              4         14348
Floyd_KY                                     Floyd        KY             10         39451
Franklin_KY                               Franklin        KY             11         49285
Fulton_KY                                   Fulton        KY              2          6813
Gallatin_KY                               Gallatin        KY              2          8589
Garrard_KY                                 Garrard        KY              4         16912
Grant_KY                                     Grant        KY              4         24662
Graves_KY                                   Graves        KY              9         37121
Grayson_KY                                 Grayson        KY              7         25746
Green_KY                                     Green        KY              4         11258
Greenup_KY                                 Greenup        KY              9         36910
Hancock_KY                                 Hancock        KY              3          8565
Hardin_KY                                   Hardin        KY             22        105543
Harlan_KY                                   Harlan        KY             11         29278
Harrison_KY                               Harrison        KY              5         18846
Hart_KY                                       Hart        KY              5         18199
Henderson_KY                             Henderson        KY             11         46250
Henry_KY                                     Henry        KY              5         15416
Hickman_KY                                 Hickman        KY              1          4902
Hopkins_KY                                 Hopkins        KY             12         46920
Jackson_KY                                 Jackson        KY              3         13494
Jefferson_KY                             Jefferson        KY            191        741096
Jessamine_KY                             Jessamine        KY              9         48586
Johnson_KY                                 Johnson        KY              6         23356
Kenton_KY                                   Kenton        KY             41        159720
Knott_KY                                     Knott        KY              5         16346
Knox_KY                                       Knox        KY              8         31883
Larue_KY                                     Larue        KY              4         14193
Laurel_KY                                   Laurel        KY             13         58849
Lawrence_KY                               Lawrence        KY              5         15860
Lee_KY                                         Lee        KY              3          7887
Leslie_KY                                   Leslie        KY              3         11310
Letcher_KY                                 Letcher        KY              7         24519
Lewis_KY                                     Lewis        KY              4         13870
Lincoln_KY                                 Lincoln        KY              6         24742
Livingston_KY                           Livingston        KY              2          9519
Logan_KY                                     Logan        KY              6         26835
Lyon_KY                                       Lyon        KY              3          8314
McCracken_KY                             McCracken        KY             17         65565
McCreary_KY                               McCreary        KY              4         18306
McLean_KY                                   McLean        KY              3          9531
Madison_KY                                 Madison        KY             19         82916
Magoffin_KY                               Magoffin        KY              4         13333
Marion_KY                                   Marion        KY              6         19820
Marshall_KY                               Marshall        KY              6         31448
Martin_KY                                   Martin        KY              3         12929
Mason_KY                                     Mason        KY              5         17490
Meade_KY                                     Meade        KY              8         28602
Menifee_KY                                 Menifee        KY              2          6306
Mercer_KY                                   Mercer        KY              5         21331
Metcalfe_KY                               Metcalfe        KY              3         10099
Monroe_KY                                   Monroe        KY              4         10963
Montgomery_KY                           Montgomery        KY              6         26499
Morgan_KY                                   Morgan        KY              5         13923
Muhlenberg_KY                           Muhlenberg        KY              9         31499
Nelson_KY                                   Nelson        KY              9         43437
Nicholas_KY                               Nicholas        KY              2          7135
Ohio_KY                                       Ohio        KY              7         23842
Oldham_KY                                   Oldham        KY             14         60316
Owen_KY                                       Owen        KY              3         10841
Owsley_KY                                   Owsley        KY              2          4755
Pendleton_KY                             Pendleton        KY              3         14877
Perry_KY                                     Perry        KY              8         28712
Pike_KY                                       Pike        KY             19         65024
Powell_KY                                   Powell        KY              2         12613
Pulaski_KY                                 Pulaski        KY             14         63063
Robertson_KY                             Robertson        KY              1          2282
Rockcastle_KY                           Rockcastle        KY              4         17056
Rowan_KY                                     Rowan        KY              4         23333
Russell_KY                                 Russell        KY              5         17565
Scott_KY                                     Scott        KY             14         47173
Shelby_KY                                   Shelby        KY              9         42074
Simpson_KY                                 Simpson        KY              4         17327
Spencer_KY                                 Spencer        KY              4         17061
Taylor_KY                                   Taylor        KY              5         24512
Todd_KY                                       Todd        KY              4         12460
Trigg_KY                                     Trigg        KY              5         14339
Trimble_KY                                 Trimble        KY              2          8809
Union_KY                                     Union        KY              4         15007
Warren_KY                                   Warren        KY             24        113792
Washington_KY                           Washington        KY              3         11717
Wayne_KY                                     Wayne        KY              5         20813
Webster_KY                                 Webster        KY              4         13621
Whitley_KY                                 Whitley        KY              8         35637
Wolfe_KY                                     Wolfe        KY              2          7355
Woodford_KY                               Woodford        KY              8         24939
Acadia_LA                                   Acadia        LA             12         61773
Allen_LA                                     Allen        LA              5         25764
Ascension_LA                             Ascension        LA             14        107215
Assumption_LA                           Assumption        LA              6         23421
Avoyelles_LA                             Avoyelles        LA              9         42073
Beauregard_LA                           Beauregard        LA              7         35654
Bienville_LA                             Bienville        LA              5         14353
Bossier_LA                                 Bossier        LA             22        116979
Caddo_LA                                     Caddo        LA             64        254969
Calcasieu_LA                             Calcasieu        LA             44        192768
Caldwell_LA                               Caldwell        LA              3         10132
Cameron_LA                                 Cameron        LA              3          6839
Catahoula_LA                             Catahoula        LA              3         10407
Claiborne_LA                             Claiborne        LA              5         17195
Concordia_LA                             Concordia        LA              5         20822
De Soto_LA                                 De Soto        LA              7         26656
East Baton Rouge_LA               East Baton Rouge        LA             92        440171
East Carroll_LA                       East Carroll        LA              3          7759
East Feliciana_LA                   East Feliciana        LA              5         20267
Evangeline_LA                           Evangeline        LA              8         33984
